image,x,y,z,qx,qy,qz,qw
images/frame_000070.png,6.4449264896624605,2.4901637844192193,0.0,0.0,0.0,0.9995140098666282,-0.031172809952486006
images/frame_000071.png,6.411451264546664,2.488080301687359,0.0,0.0,0.0,0.999517805587952,-0.031050866536135695
images/frame_000072.png,6.377976046052829,2.485996713559806,0.0,0.0,0.0,0.9995175826806013,-0.03105804102526922
images/frame_000073.png,6.344500872475414,2.483912403238375,0.0,0.0,0.0,0.9995178877953145,-0.031048220193646336
images/frame_000074.png,6.306873274042996,2.4815770622489675,0.0,0.0,0.0,0.9995159514973114,-0.031110491838354196
images/frame_000075.png,6.287111464988079,2.5010006084320526,0.0,0.0,0.0,0.9998567050887658,-0.01692835754102417
images/frame_000076.png,6.25359427165153,2.4997661603166828,0.0,0.0,0.0,0.9997861924687745,-0.020677750090144272
images/frame_000077.png,6.220092721898319,2.498165923363029,0.0,0.0,0.0,0.9996249876638008,-0.027384010629307058
images/frame_000078.png,6.1866192440203625,2.496060742080113,0.0,0.0,0.0,0.999366391075423,-0.035592364193526224
images/frame_000079.png,6.153185784331694,2.4933945479053063,0.0,0.0,0.0,0.9990314920786433,-0.04400088448110656
images/frame_000080.png,6.123937493083333,2.4906179254752328,0.0,0.0,0.0,0.9987230056253891,-0.05052086731825794
images/frame_000081.png,6.094726161617101,2.4874758912727444,0.0,0.0,0.0,0.9984060395936244,-0.05643917170701617
images/frame_000082.png,6.0696804787897145,2.4845165962889917,0.0,0.0,0.0,0.9981281738941957,-0.06115675333630875
images/frame_000083.png,6.036421599644808,2.480185415118891,0.0,0.0,0.0,0.9976640990236755,-0.06831065450775385
images/frame_000084.png,6.016793217023475,2.4729862592941476,0.0,0.0,0.0,0.996880784225228,-0.07892212644432739
images/frame_000085.png,5.9837126812231425,2.4674556067261024,0.0,0.0,0.0,0.9962433832868409,-0.08659746680583995
images/frame_000086.png,5.95072627984627,2.4613891927135905,0.0,0.0,0.0,0.9954641697234453,-0.09513719985795067
images/frame_000087.png,5.917853656981808,2.454734191355886,0.0,0.0,0.0,0.9945374180138677,-0.10438066952414675
images/frame_000088.png,5.885114744135819,2.44745012035993,0.0,0.0,0.0,0.9934494190946688,-0.11427270759225625
images/frame_000089.png,5.852530528672096,2.439502746769268,0.0,0.0,0.0,0.9922163274085891,-0.12452614032327301
images/frame_000090.png,5.81612338799895,2.429718601147508,0.0,0.0,0.0,0.990511207522504,-0.13743197507243737
images/frame_000091.png,5.787941321695319,2.421416690211755,0.0,0.0,0.0,0.9889638608366305,-0.14815695042456078
images/frame_000092.png,5.756008173006091,2.4111631478914406,0.0,0.0,0.0,0.9868447884854958,-0.16167053979936158
images/frame_000093.png,5.727204088238615,2.4062435012958803,0.0,0.0,0.0,0.9851540213895956,-0.17167281130076537
images/frame_000094.png,5.691987726583909,2.392793295114311,0.0,0.0,0.0,0.9815143818102089,-0.19138839646050484
images/frame_000095.png,5.661164951443517,2.379574680876935,0.0,0.0,0.0,0.9774047167155192,-0.21137648814912172
images/frame_000096.png,5.630930775757852,2.365060961641777,0.0,0.0,0.0,0.972571442286395,-0.2326043629190161
images/frame_000097.png,5.601373299513746,2.349215032781058,0.0,0.0,0.0,0.9670245800208848,-0.2546830611474415
images/frame_000098.png,5.569068389048381,2.3297894589774746,0.0,0.0,0.0,0.9599443841248836,-0.28019061259631445
images/frame_000099.png,5.541299816217805,2.311076554292571,0.0,0.0,0.0,0.9525302853930221,-0.3044438460686764
images/frame_000100.png,5.514799962802243,2.29111744224294,0.0,0.0,0.0,0.9439590830715102,-0.3300624933051221
images/frame_000101.png,5.490603421458009,2.2799496216628077,0.0,0.0,0.0,0.9370265227495415,-0.34925820772589294
images/frame_000102.png,5.465999096524792,2.2574360638980586,0.0,0.0,0.0,0.9270396844764337,-0.3749632294050102
images/frame_000103.png,5.442870708361178,2.233796666460174,0.0,0.0,0.0,0.9163951961423775,-0.4002747112761101
images/frame_000104.png,5.420898402843448,2.2087655485812983,0.0,0.0,0.0,0.9054876541349857,-0.4243726053942697
images/frame_000105.png,5.400111448530214,2.1824694040175023,0.0,0.0,0.0,0.8945508171784624,-0.44696625765861253
images/frame_000106.png,5.363986199698524,2.165288323792721,0.0,0.0,0.0,0.8868408241111818,-0.46207505092766016
images/frame_000107.png,5.345455446894349,2.1373362681275783,0.0,0.0,0.0,0.8752292864919554,-0.4837082757890159
images/frame_000108.png,5.328295524037563,2.1085220665394777,0.0,0.0,0.0,-0.8635305015217015,0.5042966120664293
images/frame_000109.png,5.314367754875705,2.0826552404089895,0.0,0.0,0.0,-0.8535556350357085,0.5210017062340474
images/frame_000110.png,5.298913814764052,2.0483532541533584,0.0,0.0,0.0,-0.8444039091484258,0.5357070451420785
images/frame_000111.png,5.283534649876673,2.0139353192584157,0.0,0.0,0.0,-0.8338796641020859,0.5519462888696621
images/frame_000112.png,5.270874895406139,1.982877442316418,0.0,0.0,0.0,-0.8262338274375739,0.5633273137331952
images/frame_000113.png,5.258988219696512,1.951515227693287,0.0,0.0,0.0,-0.8196407376292022,0.5728778763564337
